Format Version,1.24,Take Name,Take 2024-02-14 04.05.12 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-02-14 04.05.12.771 PM,Capture Start Frame,396467,Total Frames in Take,1977,Total Exported Frames,1977,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001
,ID,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
225,1.875000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
226,1.883333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
227,1.891667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
228,1.900000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
229,1.908333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
230,1.916667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
231,1.925000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
232,1.933333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
233,1.941667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
234,1.950000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
235,1.958333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
236,1.966667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
237,1.975000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
238,1.983333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
239,1.991667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
240,2.000000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
241,2.008333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
242,2.016667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
243,2.025000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
244,2.033333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
245,2.041667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
246,2.050000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
247,2.058333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
248,2.066667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
249,2.075000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
250,2.083333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
251,2.091667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
252,2.100000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
253,2.108333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
254,2.116667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
255,2.125000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
256,2.133333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
257,2.141667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
258,2.150000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
259,2.158333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
260,2.166667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
261,2.175000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
262,2.183333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
263,2.191667,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
264,2.200000,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
265,2.208333,135.606171,-7.780028,178.446579,-71.002380,-513.441833,-1211.485229
